taskid|category|country|state|city|varname|comment
19136727|Getting Electricity|Canada|New Brunswick|Moncton|Cost as a Percent of Income per Capita|"Comments
1. Jessica Carter (Center for the Study of Economic Liberty)   Tue Feb 12th, 1:50PM
Copied to 1 person
0.03965 cents per kWh *20,000

$793 per month
Add your comment here"
19136730|Getting Electricity|Canada|New Brunswick|Moncton|Hour)|"Comments
1. Jessica Carter (Center for the Study of Economic Liberty)   Tue Feb 12th, 12:24PM
Copied to 2 people
0.03965 cents per kWh

source
https://www.x-rates.com/calculator/
Add your comment here"
18981074|Getting Electricity|United States|Alabama|Birmingham|Time in Calendar Days|"Comments
Add your comment here"
19056005|Getting Electricity|United States|Alaska|Anchorage|Time in Calendar Days|"Comments
Add your comment here"
19056023|Getting Electricity|United States|California|San Diego|Time in Calendar Days|"Comments
Add your comment here"
19056047|Getting Electricity|United States|Washington D.C.|District of Columbia|Time in Calendar Days|"Comments
Add your comment here"
19056077|Getting Electricity|United States|Georgia|Atlanta|Time in Calendar Days|"Comments
Add your comment here"
19056086|Getting Electricity|United States|Hawaii|Honolulu|Time in Calendar Days|"Comments
Add your comment here"
19056092|Getting Electricity|United States|Idaho|Boise|Time in Calendar Days|"Comments
Add your comment here"
19056098|Getting Electricity|United States|Illinois|Chicago|Time in Calendar Days|"Comments
Add your comment here"
19056104|Getting Electricity|United States|Indiana|Indianapolis|Time in Calendar Days|"Comments
Add your comment here"
19056110|Getting Electricity|United States|Iowa|Des Moines|Time in Calendar Days|"Comments
Add your comment here"
19056116|Getting Electricity|United States|Kansas|Wichita|Time in Calendar Days|"Comments
Add your comment here"
19056122|Getting Electricity|United States|Kentucky|Louisville|Time in Calendar Days|"Comments
Add your comment here"
19056128|Getting Electricity|United States|Louisiana|New Orleans|Time in Calendar Days|"Comments
Add your comment here"
19056134|Getting Electricity|United States|Maryland|Baltimore|Time in Calendar Days|"Comments
Add your comment here"
19056140|Getting Electricity|United States|Massachusetts|Boston|Time in Calendar Days|"Comments
Add your comment here"
19056146|Getting Electricity|United States|Michigan|Detroit|Time in Calendar Days|"Comments
Add your comment here"
19056164|Getting Electricity|United States|Mississippi|Jackson|Time in Calendar Days|"Comments
Add your comment here"
