taskid|category|country|state|city|varname|comment
19136326|Starting a Business|United States|Vermont|Burlington|In Minimum Capital as a Percent of Income per Capita|"Comments
1. Paul Bernert (Center for the Study of Economic Liberty)   Mon Feb 25th, 3:32PM
0 - Louie
Add your comment here"
19048041|Starting a Business|United States|Virginia|Arlington|In Minimum Capital as a Percent of Income per Capita|"Comments
Sort by Date
1. Tara Dash (Center for the Study of Economic Liberty)   Wed Jan 23rd, 3:26PM
Copied to 1 person
Per Capita Income: $67,601

Source:
https://www.census.gov/quickfacts/fact/table/arlingtoncdpvirginia,arlingtoncountyvirginia/AFN120212
2. Paul Bernert (Center for the Study of Economic Liberty)   Mon Feb 25th, 3:32PM
0 - Louie
Add your comment here"
19048046|Starting a Business|United States|Virginia|Virginia Beach|In Minimum Capital as a Percent of Income per Capita|"Comments
Sort by Date
1. Tara Dash (Center for the Study of Economic Liberty)   Wed Jan 23rd, 3:24PM
Copied to 1 person
Per Capita Income: $34,607

Source:
https://www.census.gov/quickfacts/fact/table/virginiabeachcityvirginia/AFN120212
2. Paul Bernert (Center for the Study of Economic Liberty)   Mon Feb 25th, 3:32PM
0 - Louie
Add your comment here"
19048051|Starting a Business|United States|Washington|Seattle|In Minimum Capital as a Percent of Income per Capita|"Comments
Sort by Date
1. Tara Dash (Center for the Study of Economic Liberty)   Thu Jan 24th, 12:56PM
Copied to 1 person
Income Per Capita: $51,872

Source: https://www.census.gov/quickfacts/fact/table/seattlecitywashington/PST045217
2. Paul Bernert (Center for the Study of Economic Liberty)   Mon Feb 25th, 3:31PM
0 - Louie
Add your comment here"
19048049|Starting a Business|United States|Washington|Seattle|Time Required to Complete Each Procedure|"Comments
1. Tara Dash (Center for the Study of Economic Liberty)   Fri Jan 18th, 5:15PM
Copied to 1 person
1) a) Reserving a Business Name: 2 days
Source: https://www.sos.wa.gov/corps/forms.aspx
b) Certificate of Formation: 2 days
Source: https://www.sos.wa.gov/corps/limitedliabilitycompaniesllconlineandpaperregistrations.aspx
2) EIN: .5 days (online)
Source: https://app.irs-ein-tax-id.com/LLC
3) State Sales Tax: .5 days (online)
Source: https://blog.taxjar.com/register-sales-tax-permit-in-washington/

Add your comment here"
19136324|Starting a Business|United States|Vermont|Burlington|Time Required to Complete Each Procedure|"Comments
1. Paul Bernert (Center for the Study of Economic Liberty)   Thu Feb 21st, 2:58PM
Time Required to Form an LLC in Vermont:

Step 1) Name Your LLC
You may reserve a name for 120 days by filing an Application to Reserve a Specified Business Name with the Vermont Secretary of State. The application may be filed online by postal mail. To file by postal mail with a traditional paper check, you must complete the online filing process and select this option at the end as a method of payment. The filing fee is $20.
Time Required: 1 Day (Online Procedure).

Step 2) File the Articles of Organization
A Vermont LLC is created by filing Articles of Organization with the Vermont Secretary of State. The filing fee is $125. The articles can be filed by postal mail or you can create your LLC online.
Time Required: Less than 1 Day (Online Procedure.)

Step 3) Choose a Registered Agent
Time Required: 0 Days (Simply must appoint someone).

Step 4) Create an Operating Agreement
Step 5) Publication Requirements
Step 6) Obtain an Employer Identification Number (EIN)
Time Required: 1 Day (Online Procedure).

Step 7) File Annual Reports
All Vermont LLCs and Foreign LLCs authorized to do business in the state must file an annual report with the Vermont Secretary of State Corporations Division. The report may be filed online or by postal mail. To file by postal mail with a traditional paper check, you must complete the online filing process and select this option at the end as a method of payment. The filing fee is $35 for a Vermont LLC and $140 for a foreign LLC.
Time Required: 1 Day (Online Procedure).

Step 8) Foreign LLC Requirements
SOURCES: https://www.nolo.com/legal-encyclopedia/vermont-form-llc-32169.html
https://howtostartanllc.com/vermont-llc
Add your comment here"
19136325|Starting a Business|United States|Vermont|Burlington|Cost Required to Complete Each Procedure|"Comments
1. Paul Bernert (Center for the Study of Economic Liberty)   Thu Feb 21st, 2:59PM
Cost Required to Form an LLC in Vermont:

Step 1) Name Your LLC
The filing fee is $20.

Step 2) File the Articles of Organization
The filing fee is $125.

Step 3) Choose a Registered Agent
There is no fee.

Step 4) Create an Operating Agreement
Step 5) Publication Requirements
Step 6) Obtain an Employer Identification Number (EIN)
There is no fee.

Step 7) File Annual Reports
The filing fee is $35 for a Vermont LLC and $140 for a foreign LLC.

Step 8) Foreign LLC Requirements
SOURCES: https://www.nolo.com/legal-encyclopedia/vermont-form-llc-32169.html
https://howtostartanllc.com/vermont-llc
Add your comment here"
19048034|Starting a Business|United States|Utah|Salt Lake City|Time Required to Complete Each Procedure|"Comments
1. Paul Bernert (Center for the Study of Economic Liberty)   Thu Feb 21st, 2:45PM
Time Required to Form an LLC in Utah:

Step 1) Name Your LLC
You may reserve a name for 120 days by filing an Application for Reservation of Business Name with the Utah Division of Corporations. The reservation may be filed online at the Utah Online Business Registration website or by mail. The filing fee is $22.
Time Required: 1 Day (Online Procedure).

Step 2) File the Certificate of Organization
The articles may be filed online at the Utah Online Business Registration website, or by mail. The filing fee is $70.
Time Required: 1 Day (Online Procedure)

Step 3) Choose a Registered Agent
Time Required: 0 Days (Simply must appoint someone).

Step 4) Create an Operating Agreement
Step 5) Publication Requirements
Step 6) Obtain an Employer Identification Number (EIN)
Time Required: 1 Day (Online Procedure).

Step 7) File Annual Renewals
Step 8) Foreign LLC Requirements

SOURCES: https://www.nolo.com/legal-encyclopedia/utah-form-llc-31787.html
https://howtostartanllc.com/utah-llc
Add your comment here"
19048035|Starting a Business|United States|Utah|Salt Lake City|Cost Required to Complete Each Procedure|"Comments
1. Paul Bernert (Center for the Study of Economic Liberty)   Thu Feb 21st, 2:46PM
Cost Required to Form an LLC in Utah:

Step 1) Name Your LLC
The filing fee is $22.

Step 2) File the Certificate of Organization
The filing fee is $70.

Step 3) Choose a Registered Agent
There is no fee.

Step 4) Create an Operating Agreement
Step 5) Publication Requirements
Step 6) Obtain an Employer Identification Number (EIN)
There is no fee.

Step 7) File Annual Renewals
Step 8) Foreign LLC Requirements

SOURCES: https://www.nolo.com/legal-encyclopedia/utah-form-llc-31787.html
https://howtostartanllc.com/utah-llc
Add your comment here"
19048003|Starting a Business|United States|Tennessee|Nashville|Time Required to Complete Each Procedure|"Comments
1. Paul Bernert (Center for the Study of Economic Liberty)   Wed Feb 20th, 2:45PM
Time Required to form an LLC in Tennessee:

Step 1) Name Your LLC
You may reserve a name for four months by filing an Application for Reservation of Limited Liability Company Name (Form ss-4228) with the Tennessee Secretary of State. The reservation must be filed by mail. The filing fee is $20.
Time Required: Up to 7 days.

Step 2) File the Articles of Organization
A Tennessee LLC is created by filing Articles of Organization (Form ss-4270) with the Secretary of State. The articles may be filed online or by postal mail. The filing fee is $50 per LLC member. The minimum fee is $300; the maximum fee is $3,000. An additional convenience fee must be paid for online filings paid by credit card.
Time Required: 1 Day (Online Procedure).

Step 3) Choose a Registered Agent
Time Required: 0 Days (Simply must appoint someone.)

Step 4) Create an Operating Agreement
Step 5) Publication Requirements
Step 6) Obtain an Employer Identification Number (EIN)
Time Required: 1 Day (Online Procedure).

Step 7) File Annual Reports
Time Required: 1 Day (Online Procedure).

Step 8) Foreign LLCs

SOURCES: https://www.nolo.com/legal-encyclopedia/tennessee-form-llc-32159.html
https://howtostartanllc.com/tennessee-llc
Add your comment here"
